rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
146,frame_0126.jpg,50.4,0.4895,0.566,0.1818,0.76,14,2,False,False
147,frame_0294.jpg,117.6,0.4877,0.5238,0.2727,0.72,9,3,False,False
148,frame_0111.jpg,44.4,0.4871,0.6376,0.4545,0.16,16,5,False,False
149,frame_0195.jpg,78.0,0.4853,0.679,0.2727,0.32,9,3,False,False
150,frame_0008.jpg,3.2,0.4824,0.5102,0.0909,1.0,7,1,False,False
151,frame_0203.jpg,81.2,0.4812,0.5427,0.2727,0.64,11,3,False,False
152,frame_0088.jpg,35.2,0.4805,0.676,0.1818,0.44,11,2,False,False
153,frame_0282.jpg,112.8,0.4796,0.549,0.3636,0.48,11,4,False,False
154,frame_0269.jpg,107.6,0.4785,0.7229,0.3636,0.04,14,4,False,False
155,frame_0112.jpg,44.8,0.4769,0.6011,0.4545,0.2,12,5,False,False
156,frame_0229.jpg,91.6,0.4766,0.7576,0.2727,0.08,16,3,False,False
157,frame_0009.jpg,3.6,0.4728,0.4365,0.1818,1.0,7,2,False,False
158,frame_0223.jpg,89.2,0.4706,0.6591,0.3636,0.16,18,4,False,False
159,frame_0212.jpg,84.8,0.4691,0.48,0.3636,0.6,11,4,False,False
160,frame_0299.jpg,119.6,0.4686,0.6202,0.1818,0.52,13,2,False,False
161,frame_0173.jpg,69.2,0.4685,0.5749,0.3636,0.36,12,4,False,False
162,frame_0278.jpg,111.2,0.4675,0.7524,0.0909,0.32,11,1,False,False
163,frame_0106.jpg,42.4,0.4674,0.5915,0.5455,0.04,17,6,False,False
164,frame_0281.jpg,112.4,0.4658,0.592,0.2727,0.44,12,3,False,False
165,frame_0274.jpg,109.6,0.4648,0.5383,0.5455,0.16,21,6,False,False
166,frame_0209.jpg,83.6,0.4647,0.5323,0.1818,0.72,8,2,False,False
167,frame_0268.jpg,107.2,0.4644,0.7878,0.1818,0.08,10,2,False,False
168,frame_0167.jpg,66.8,0.4643,0.6341,0.0909,0.6,13,1,False,False
